category_slug,name,price,description,image_path,is_available,sort_order
platters,Nsuomu Agro,300.00,"Farm-fresh Ghanaian dishes.",/platters/nsuomu agro.jpg,true,5
platters,Oware Special,220.00,"Special Ghanaian delicacies.",/platters/oware special.jpg,true,6
platters,The Gathers,350.00,"Perfect for group gatherings.",/platters/the gathers.jpg,true,7
alcoholic-drinks,Blackberry Vodka,32.00,"Vodka, blackberry puree, mint leaves, lime juice, simple syrup.",/drinks/alcoholic/blackberry-mint-vodka-scaled.jpg,true,1
alcoholic-drinks,Carnberry Vodka,25.00,"Vodka, cranberry juice, lime juice, simple syrup.",/drinks/alcoholic/carnberry coktail.jpeg,true,2
alcoholic-drinks,Long Mint,23.00,"Mint leaves, vodka, lime juice, simple syrup, club soda.",/drinks/alcoholic/long mint.png,true,3
alcoholic-drinks,Strawberry Mojito,30.00,"Rum, strawberries, mint leaves, lime juice, sugar, club soda.",/drinks/alcoholic/Cold-Strawberry-Mojito-683x1024.jpg,true,4
alcoholic-drinks,Peach-Rum,24.00,"Rum, peach schnapps, orange juice, grenadine.",/drinks/alcoholic/Article-Best-Cocktail-Recipes-for-Day-Drinking-Spritz-Low-ABV-Recipes.webp,true,5
alcoholic-drinks,Blue Ivy,25.00,"Blue Curacao, vodka, lemonade, blue raspberry syrup.",/drinks/alcoholic/Electric-Shark-Cocktail-Recipe-4.jpg,true,6
alcoholic-drinks,Purple Rain,30.00,"Vodka, blue curacao, cranberry juice, sweet and sour mix.",/drinks/alcoholic/Purple-rain-90edf70.jpg,true,7
alcoholic-drinks,Casa Migos Lick,36.00,"Tequila, lime juice, cucumber, jalapeno, agave syrup.",/drinks/alcoholic/casamigas-spicy-cucumber-margarita-hero.jpg,true,8
non-alcoholic-drinks,Asana,15.00,"Hibiscus, ginger, sugar, water.",/drinks/non/asaana-drink-1.jpg,true,1
non-alcoholic-drinks,Brukina,20.00,"Corn, milk, sugar, water.",/drinks/non/brukina.jpg,true,2
non-alcoholic-drinks,Oco Milkshake,23.00,"Oco, milk, sugar, vanilla.",/drinks/non/GSnlzQoXwAAt2Bu.jpeg,true,3
non-alcoholic-drinks,Passion Fruit Smoothie,80.00,"Passion fruit, yogurt, honey, ice.",/drinks/non/passionfruit-horchata_Square-1300x1300.webp,true,4
non-alcoholic-drinks,Sobolo,15.00,"Hibiscus leaves, ginger, sugar, water.",/drinks/non/sobolo-pcfudien-jpg.jpeg,true,5
non-alcoholic-drinks,Mango Smoothie,25.00,"Mango, yogurt, honey, ice.",/drinks/non/tropical-mango-pineapple-smoothie-in-2-glasses-with-straws.jpg,true,6
non-alcoholic-drinks,Tropical Cocktail,27.00,"Fruit juices, grenadine, soda.",/drinks/non/mai-tai_0-477263b717c24611afb5d7963298bff2.jpg,true,7
non-alcoholic-drinks,Punch Rouge,20.00,"Mixed fruit juices, sugar, water.",/drinks/non/Celebration-Fruit-Punch_4.webp,true,8
water,Distilled Water,6.00,"Purified water.",/drinks/non/Kinto-Luce-Water-Carafe-1L-3.webp,true,1
water,Sparkling Water,15.00,"Carbonated water.",/drinks/non/2381512.webp,true,2
